CustomerID,Gender,Age,Annual_Income,Spending_Score,cluster
71,Male,70,49,55,0
91,Female,68,59,55,0
90,Female,50,58,46,0
87,Female,55,57,58,0
86,Male,48,54,46,0
84,Female,46,54,44,0
41,Female,65,38,35,0
83,Male,67,54,41,0
43,Male,48,39,36,0
81,Male,57,54,51,0
80,Female,49,54,42,0
47,Female,50,40,55,0
77,Female,45,54,53,0
75,Male,59,54,47,0
51,Female,49,42,52,0
74,Female,60,50,56,0
73,Female,60,50,49,0
54,Male,59,43,60,0
55,Female,50,43,45,0
56,Male,47,43,41,0
57,Female,51,44,50,0
58,Male,69,44,46,0
72,Female,47,49,42,0
60,Male,53,46,46,0
61,Male,70,46,56,0
63,Female,67,47,52,0
64,Female,54,47,59,0
65,Male,63,48,51,0
67,Female,43,48,50,0
93,Male,48,60,49,0
68,Female,68,48,48,0
117,Female,63,65,43,0
120,Female,50,67,57,0
119,Female,51,67,43,0
118,Female,49,65,59,0
97,Female,47,60,47,0
111,Male,65,63,52,0
109,Male,68,63,43,0
108,Male,54,63,46,0
110,Male,66,63,48,0
105,Male,49,62,56,0
103,Male,67,62,59,0
102,Female,49,62,48,0
99,Male,48,61,42,0
107,Female,66,63,50,0
136,Female,29,73,88,1
128,Male,40,71,95,1
134,Female,31,72,71,1
138,Male,32,73,73,1
140,Female,35,74,72,1
142,Male,32,75,93,1
132,Male,39,71,75,1
130,Male,38,71,75,1
168,Female,33,86,95,1
126,Female,31,70,77,1
158,Female,30,78,78,1
124,Male,39,69,91,1
146,Male,28,77,97,1
148,Female,32,77,74,1
166,Female,36,85,75,1
150,Male,34,78,90,1
152,Male,39,78,88,1
164,Female,31,81,93,1
154,Female,38,78,76,1
162,Female,29,79,83,1
156,Female,27,78,89,1
144,Female,32,76,87,1
160,Female,30,78,73,1
200,Male,30,137,83,1
170,Male,32,87,63,1
188,Male,28,101,68,1
184,Female,29,98,88,1
190,Female,36,103,85,1
182,Female,32,97,86,1
192,Female,32,103,69,1
180,Male,35,93,90,1
178,Male,27,88,69,1
196,Female,35,120,79,1
194,Female,38,113,91,1
198,Male,32,126,74,1
172,Male,28,87,75,1
174,Male,36,87,92,1
186,Male,30,99,97,1
176,Female,30,88,86,1
195,Female,47,120,16,2
153,Female,44,78,20,2
139,Male,19,74,10,2
189,Female,41,103,17,2
137,Female,44,73,7,2
151,Male,43,78,17,2
149,Female,34,78,22,2
191,Female,34,103,23,2
129,Male,59,71,11,2
131,Male,47,71,9,2
193,Male,33,113,8,2
147,Male,48,77,36,2
145,Male,25,77,12,2
135,Male,20,73,5,2
169,Female,36,87,27,2
127,Male,43,71,35,2
197,Female,45,126,28,2
187,Female,54,101,24,2
155,Female,47,78,16,2
171,Male,40,87,13,2
173,Male,36,87,10,2
175,Female,52,88,13,2
167,Male,42,86,20,2
177,Male,58,88,15,2
165,Male,50,85,26,2
179,Male,59,93,14,2
163,Male,19,81,5,2
181,Female,37,97,32,2
161,Female,56,79,35,2
183,Male,46,98,15,2
141,Female,57,75,5,2
199,Male,32,137,18,2
159,Male,34,78,1,2
185,Female,41,99,39,2
157,Male,37,78,1,2
34,Male,18,33,92,3
26,Male,29,28,82,3
2,Male,21,15,81,3
24,Male,31,25,73,3
4,Female,23,16,77,3
30,Female,23,29,87,3
6,Female,22,17,76,3
22,Male,25,24,73,3
46,Female,24,39,65,3
8,Female,23,18,94,3
42,Male,24,38,92,3
40,Female,20,37,75,3
10,Female,30,19,72,3
20,Female,35,23,98,3
38,Female,30,34,73,3
28,Male,35,28,61,3
32,Female,21,30,73,3
14,Female,24,20,77,3
36,Female,21,33,81,3
16,Male,22,20,79,3
18,Male,20,21,66,3
12,Female,35,19,99,3
1,Male,19,15,39,4
27,Female,45,28,32,4
39,Female,36,37,26,4
37,Female,42,34,17,4
35,Female,49,33,14,4
33,Male,53,33,4,4
31,Male,60,30,4,4
29,Female,40,29,31,4
25,Female,54,28,14,4
45,Female,49,39,28,4
21,Male,35,24,35,4
23,Female,46,25,5,4
17,Female,35,21,35,4
15,Male,37,20,13,4
13,Female,58,20,15,4
11,Male,67,19,14,4
9,Male,64,19,3,4
7,Female,35,18,6,4
5,Female,31,17,40,4
3,Female,20,16,6,4
19,Male,52,23,29,4
52,Male,33,42,60,5
50,Female,31,40,42,5
49,Female,29,40,42,5
143,Female,28,76,40,5
44,Female,31,39,61,5
53,Female,31,43,54,5
48,Female,27,40,47,5
59,Female,27,46,51,5
62,Male,19,46,55,5
66,Male,18,48,59,5
125,Female,23,70,29,5
123,Female,40,69,58,5
122,Female,38,67,40,5
121,Male,27,67,56,5
116,Female,19,65,50,5
115,Female,18,65,48,5
114,Male,19,64,46,5
113,Female,38,64,42,5
112,Female,19,63,54,5
106,Female,21,62,42,5
104,Male,26,62,55,5
101,Female,23,62,41,5
133,Female,25,72,34,5
98,Female,27,60,50,5
95,Female,32,60,42,5
94,Female,40,60,40,5
92,Male,18,59,41,5
89,Female,34,58,60,5
88,Female,22,57,55,5
85,Female,21,54,57,5
82,Male,38,54,55,5
79,Female,23,54,52,5
78,Male,40,54,48,5
76,Male,26,54,54,5
70,Female,32,48,47,5
69,Male,19,48,59,5
96,Male,24,60,52,5
100,Male,20,61,49,5
